Depth (km), Temperature (K)
6.570951585976627030e+01,1.116220586741567104e+03,1.090672125603837458e+03
6.544240400667779056e+01,1.113923402955137590e+03,1.088249242104553332e+03
6.517529215358931083e+01,1.111625743510427810e+03,1.085825882946988486e+03
6.490818030050083109e+01,1.109327608407437538e+03,1.083402048131143829e+03
6.464106844741235136e+01,1.107028997646166999e+03,1.080977737657018452e+03
6.437395659432387163e+01,1.104729911226615968e+03,1.078552951524612581e+03
6.410684474123539189e+01,1.102430349148784217e+03,1.076127689733926218e+03
6.383973288814689795e+01,1.100130311412672427e+03,1.073701952284959589e+03
6.357262103505843243e+01,1.097829798018280371e+03,1.071275739177712694e+03
6.330550918196994559e+01,1.095528808965607823e+03,1.068849050412185306e+03
6.303839732888145875e+01,1.093227344254654554e+03,1.066421885988377426e+03
6.277128547579298612e+01,1.090925403885421019e+03,1.063994245906289279e+03
6.250417362270450639e+01,1.088622987857907219e+03,1.061566130165920640e+03
6.223706176961601955e+01,1.086320096172113153e+03,1.059137538767271735e+03
6.196994991652754692e+01,1.084016728828038367e+03,1.056708471710342110e+03
6.170283806343906008e+01,1.081712885825683315e+03,1.054278928995132446e+03
6.143572621035058035e+01,1.079408567165047771e+03,1.051848910621642062e+03
6.116861435726209351e+01,1.077103772846131733e+03,1.049418416589871413e+03
6.090150250417362088e+01,1.074798502868935884e+03,1.046987446899820497e+03
6.063439065108513404e+01,1.072492757233458860e+03,1.044556001551488862e+03
6.036727879799665430e+01,1.070186535939702026e+03,1.042124080544877188e+03
6.010016694490818168e+01,1.067879838987664471e+03,1.039691683879985021e+03
5.983305509181969484e+01,1.065572666377346422e+03,1.037258811556812361e+03
5.956594323873121510e+01,1.063265018108748336e+03,1.034825463575359436e+03
5.929883138564272826e+01,1.060956894181869529e+03,1.032391639935625790e+03
5.903171953255425564e+01,1.058648294596710457e+03,1.029957340637611878e+03
5.876460767946576880e+01,1.056339219353270892e+03,1.027522565681317701e+03
5.849749582637728906e+01,1.054029668451551061e+03,1.025087315066743031e+03
5.823038397328881643e+01,1.051719641891550737e+03,1.022651588793888209e+03
5.796327212020032960e+01,1.049409139673270147e+03,1.020215386862752553e+03
5.769616026711184276e+01,1.047098161796708837e+03,1.017778709273336744e+03
5.742904841402336302e+01,1.044786708261867489e+03,1.015341556025640443e+03
5.716193656093489039e+01,1.042474779068745647e+03,1.012903927119663877e+03
